Dataset,Classifier,Oversampling method,Metric,Mean CV score
ecoli6,LogisticRegression,SMOTE2,roc auc score,0.9563891999502303
glass,GradientBoostingClassifier,ADASYN,f1 score,0.796785464709993
glass,GradientBoostingClassifier,ADASYN,geometric mean score,0.8520214462110953
glass,GradientBoostingClassifier,ADASYN,roc auc score,0.8944180253623187
glass,GradientBoostingClassifier,None,f1 score,0.7966026289180991
glass,GradientBoostingClassifier,None,geometric mean score,0.8427352427802394
glass,GradientBoostingClassifier,None,roc auc score,0.9199250201288244
glass,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7920633349826819
glass,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8395505429309166
glass,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9227807971014492
glass,GradientBoostingClassifier,SMOTE,f1 score,0.7737283319124751
glass,GradientBoostingClassifier,SMOTE,geometric mean score,0.8333457016957736
glass,GradientBoostingClassifier,SMOTE,roc auc score,0.9056650060386474
glass,GradientBoostingClassifier,SMOTE2,f1 score,0.7880761579994316
glass,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8473713701391349
glass,GradientBoostingClassifier,SMOTE2,roc auc score,0.8892914653784219
glass,LogisticRegression,ADASYN,f1 score,0.6424094424094423
glass,LogisticRegression,ADASYN,geometric mean score,0.7146133608958921
glass,LogisticRegression,ADASYN,roc auc score,0.8219102254428341
glass,LogisticRegression,None,f1 score,0.5219779694859228
glass,LogisticRegression,None,geometric mean score,0.6217843718635315
glass,LogisticRegression,None,roc auc score,0.8249169685990339
glass,LogisticRegression,RandomOverSampler,f1 score,0.6513331940963519
glass,LogisticRegression,RandomOverSampler,geometric mean score,0.7306897577792381
glass,LogisticRegression,RandomOverSampler,roc auc score,0.8215579710144928
glass,LogisticRegression,SMOTE,f1 score,0.6504752860828945
glass,LogisticRegression,SMOTE,geometric mean score,0.7347529020489315
glass,LogisticRegression,SMOTE,roc auc score,0.824627616747182
glass,LogisticRegression,SMOTE2,f1 score,0.6527679064992498
glass,LogisticRegression,SMOTE2,geometric mean score,0.7212657042706372
glass,LogisticRegression,SMOTE2,roc auc score,0.8132422504025765
glass2,GradientBoostingClassifier,ADASYN,f1 score,0.6553366174055829
glass2,GradientBoostingClassifier,ADASYN,geometric mean score,0.8320275893820337
glass2,GradientBoostingClassifier,ADASYN,roc auc score,0.9039877946127944
glass2,GradientBoostingClassifier,None,f1 score,0.6262626262626262
glass2,GradientBoostingClassifier,None,geometric mean score,0.7304249555115088
glass2,GradientBoostingClassifier,None,roc auc score,0.8976220538720538
glass2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6075362318840579
glass2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7449236446989712
glass2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8533775252525254
glass2,GradientBoostingClassifier,SMOTE,f1 score,0.7134809634809635
glass2,GradientBoostingClassifier,SMOTE,geometric mean score,0.8202641516988869
glass2,GradientBoostingClassifier,SMOTE,roc auc score,0.8987794612794614
glass2,GradientBoostingClassifier,SMOTE2,f1 score,0.6019813519813519
glass2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7415671095521308
glass2,GradientBoostingClassifier,SMOTE2,roc auc score,0.8667403198653199
glass2,LogisticRegression,ADASYN,f1 score,0.499835564951844
glass2,LogisticRegression,ADASYN,geometric mean score,0.7239516041194042
glass2,LogisticRegression,ADASYN,roc auc score,0.8214436026936026
glass2,LogisticRegression,None,f1 score,0.05128205128205129
glass2,LogisticRegression,None,geometric mean score,0.09945135690664252
glass2,LogisticRegression,None,roc auc score,0.8284406565656566
glass2,LogisticRegression,RandomOverSampler,f1 score,0.5335491382003009
glass2,LogisticRegression,RandomOverSampler,geometric mean score,0.7559342386251472
glass2,LogisticRegression,RandomOverSampler,roc auc score,0.8347011784511784
glass2,LogisticRegression,SMOTE,f1 score,0.509448472863107
glass2,LogisticRegression,SMOTE,geometric mean score,0.7317211635316679
glass2,LogisticRegression,SMOTE,roc auc score,0.8258627946127947
glass2,LogisticRegression,SMOTE2,f1 score,0.4992063492063492
glass2,LogisticRegression,SMOTE2,geometric mean score,0.7270328930655365
glass2,LogisticRegression,SMOTE2,roc auc score,0.8206544612794614
glass4,GradientBoostingClassifier,ADASYN,f1 score,0.6305555555555555
glass4,GradientBoostingClassifier,ADASYN,geometric mean score,0.836735143892715
glass4,GradientBoostingClassifier,ADASYN,roc auc score,0.94375
glass4,GradientBoostingClassifier,None,f1 score,0.5598845598845598
glass4,GradientBoostingClassifier,None,geometric mean score,0.6608934730681263
glass4,GradientBoostingClassifier,None,roc auc score,0.9671296296296298
glass4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6495726495726495
glass4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7547205606888122
glass4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9391203703703704
glass4,GradientBoostingClassifier,SMOTE,f1 score,0.5787037037037036
glass4,GradientBoostingClassifier,SMOTE,geometric mean score,0.7300881194251421
glass4,GradientBoostingClassifier,SMOTE,roc auc score,0.9229166666666666
glass4,GradientBoostingClassifier,SMOTE2,f1 score,0.5656565656565656
glass4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7288814084937241
glass4,GradientBoostingClassifier,SMOTE2,roc auc score,0.9111111111111111
glass4,LogisticRegression,ADASYN,f1 score,0.3706418219461698
glass4,LogisticRegression,ADASYN,geometric mean score,0.7527140101568399
glass4,LogisticRegression,ADASYN,roc auc score,0.8675925925925926
glass4,LogisticRegression,None,f1 score,0.0
glass4,LogisticRegression,None,geometric mean score,0.0
glass4,LogisticRegression,None,roc auc score,0.8722222222222221
glass4,LogisticRegression,RandomOverSampler,f1 score,0.3755576304595913
glass4,LogisticRegression,RandomOverSampler,geometric mean score,0.7345834053207002
glass4,LogisticRegression,RandomOverSampler,roc auc score,0.8712962962962963
glass4,LogisticRegression,SMOTE,f1 score,0.4015384615384615
glass4,LogisticRegression,SMOTE,geometric mean score,0.7524207990466764
glass4,LogisticRegression,SMOTE,roc auc score,0.880787037037037
glass4,LogisticRegression,SMOTE2,f1 score,0.42133983513293866
glass4,LogisticRegression,SMOTE2,geometric mean score,0.7760246886940466
glass4,LogisticRegression,SMOTE2,roc auc score,0.8759259259259261
glass6,GradientBoostingClassifier,ADASYN,f1 score,0.46936026936026937
