Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
SEGMENTATION,LR,AUC,0.9660074384053112,0.9659066042487634,0.9655725810718692,0.966395381496396
SEGMENTATION,LR,F-SCORE,0.1236230137133895,0.6751373232349289,0.6811319476751003,0.6797168997733339
SEGMENTATION,LR,G-MEAN,0.25334732015697753,0.8980738586532231,0.8958451182269642,0.9036440753772341
SEGMENTATION,KNN,AUC,0.9236764625993444,0.9152913356149606,0.929159302604312,0.9399626702358992
SEGMENTATION,KNN,F-SCORE,0.7330956499026874,0.7028265153892835,0.7029824311016428,0.7398930598613775
SEGMENTATION,KNN,G-MEAN,0.8114112998878634,0.8851991460176233,0.8965586677173975,0.8985844947358209
SEGMENTATION,DT,AUC,0.94580055926259,0.9376979632052612,0.9497224042669486,0.9544231691309164
SEGMENTATION,DT,F-SCORE,0.7663122414493578,0.7283710524255671,0.7622520081041602,0.7899784340607203
SEGMENTATION,DT,G-MEAN,0.8629472193758981,0.9147808450984446,0.9228015894242162,0.9268416038823544
SEGMENTATION,GBC,AUC,0.9691910198042829,0.963438446183084,0.9703450268495102,0.9734267173816948
SEGMENTATION,GBC,F-SCORE,0.7694695462741716,0.7594871275686877,0.7866180957473491,0.8014594856209979
SEGMENTATION,GBC,G-MEAN,0.8542132955372174,0.9128602552997186,0.9179861073866163,0.9322362619549576
IRIS (3),LR,AUC,0.8128260575704251,0.8244696414725259,0.8219196445117288,0.8266062664143794
IRIS (3),LR,F-SCORE,0.3587363817089637,0.5607251321301198,0.5540169023602858,0.5702045396743066
IRIS (3),LR,G-MEAN,0.485523880098044,0.7464250253345153,0.7416039424886413,0.7546925396399432
IRIS (3),KNN,AUC,0.7420580417419896,0.7143139013881198,0.7393515216855827,0.7380529237391066
IRIS (3),KNN,F-SCORE,0.3888582440333921,0.4598964139971165,0.5007543751830967,0.4878715483504952
IRIS (3),KNN,G-MEAN,0.5447411735366412,0.6679261249717617,0.7041789793385971,0.6922507006895787
IRIS (3),DT,AUC,0.7522648227404339,0.7772626679048549,0.7739691265108744,0.7892604885631574
IRIS (3),DT,F-SCORE,0.4193165383172448,0.5246558130251217,0.5363342895390236,0.5459533851125409
IRIS (3),DT,G-MEAN,0.5671678908703236,0.7245425248971932,0.7236837910850943,0.7371473178389484
IRIS (3),GBC,AUC,0.8378942324072908,0.8268925186078068,0.8266852877629104,0.8449983023404971
IRIS (3),GBC,F-SCORE,0.5057731013436986,0.543597421027747,0.5600766278212682,0.5911736501795021
IRIS (3),GBC,G-MEAN,0.6331714919518584,0.7147123595547802,0.7306277724413462,0.7600471999605967
GLASS (3),LR,AUC,0.999762779308234,0.9999617385981022,0.999862258953168,0.9999719416386084
GLASS (3),LR,F-SCORE,0.9908859588248902,0.9855732143123797,0.9883796931607296,0.9879087082471526
GLASS (3),LR,G-MEAN,0.9934065474240396,0.9945996237581076,0.9929854059629688,0.9961177796364656
GLASS (3),KNN,AUC,0.9974556167737988,0.9955910111213142,0.995999132741557,0.9970117845117844
GLASS (3),KNN,F-SCORE,0.9704545965954342,0.9563276028793334,0.9572711842269376,0.9601069703134906
GLASS (3),KNN,G-MEAN,0.9911478770527046,0.9898722291385064,0.9900415411856084,0.9905494914914842
GLASS (3),DT,AUC,0.9926499846954394,0.9932863993470056,0.994438067544128,0.9943271094786246
GLASS (3),DT,F-SCORE,0.9783144454593158,0.9782171984643996,0.9735435702059182,0.9758566723768748
GLASS (3),DT,G-MEAN,0.987885818719659,0.991650457961346,0.9883395753681588,0.9937569169639304
GLASS (3),GBC,AUC,0.9996122844607692,0.9985460667278848,0.9996913580246914,0.9999285787164576
GLASS (3),GBC,F-SCORE,0.9846847888953152,0.9879304166809191,0.9859789681102562,0.9919416888726628
GLASS (3),GBC,G-MEAN,0.989804248109436,0.9941664245936896,0.9942588574877692,0.9969624210704576
VEHICLE (2),LR,AUC,0.6756247597078047,0.68669973799251,0.68579285744799,0.6924739594457971
VEHICLE (2),LR,F-SCORE,0.2918600968652568,0.4823237457487341,0.4864087145028402,0.4927804985065648
VEHICLE (2),LR,G-MEAN,0.4237306662077778,0.6259087325761443,0.6311509507617863,0.6341662513005965
VEHICLE (2),KNN,AUC,0.6832611121790763,0.6672989466302135,0.6734687157361129,0.6937751416833979
VEHICLE (2),KNN,F-SCORE,0.3539609746947254,0.4631227368394462,0.4802821618083779,0.493370479542167
VEHICLE (2),KNN,G-MEAN,0.4974762456552159,0.6164911943826058,0.6331667874878908,0.6430583915184114
VEHICLE (2),DT,AUC,0.6610825430390022,0.6783926588064421,0.6804122257109089,0.7057942903014509
VEHICLE (2),DT,F-SCORE,0.4048261714440063,0.4928329130743957,0.5070090548569867,0.5397945236019985
VEHICLE (2),DT,G-MEAN,0.552477435765622,0.6381961300545044,0.6482896944068507,0.6819625445971355
VEHICLE (2),GBC,AUC,0.6807327043017642,0.6639698762584191,0.6989310112207555,0.7204335583180258
VEHICLE (2),GBC,F-SCORE,0.3962666687480751,0.4416416225978603,0.4624271933719044,0.4997500659925938
VEHICLE (2),GBC,G-MEAN,0.533106888842611,0.5964611317517319,0.6140588880088306,0.6396609834497399
YEAST 1 (3),LR,AUC,0.8999999999999999,0.8988888888888887,0.8991666666666668,0.9017592592592591
YEAST 1 (3),LR,F-SCORE,0.8149672449923541,0.8154676257276791,0.8229386207767102,0.8274672429753704
YEAST 1 (3),LR,G-MEAN,0.8334274189830889,0.8319217656868262,0.8396602031648938,0.8429925948974143
YEAST 1 (3),KNN,AUC,0.6879166666666667,0.6842592592592592,0.6897685185185187,0.6934722222222223
YEAST 1 (3),KNN,F-SCORE,0.6050710047155975,0.6130529887215586,0.6108714969084921,0.6168915341888904
YEAST 1 (3),KNN,G-MEAN,0.6486573415559134,0.6447877876621816,0.645440027904478,0.6527561841943791
YEAST 1 (3),DT,AUC,0.8383796296296296,0.8480092592592593,0.8374537037037039,0.8610185185185184
YEAST 1 (3),DT,F-SCORE,0.7537160564765596,0.7642096520463717,0.7784098401903662,0.7893404004662806
YEAST 1 (3),DT,G-MEAN,0.7810283706850437,0.7897859121162855,0.8012877328773226,0.8112102788902623
YEAST 1 (3),GBC,AUC,0.8727777777777778,0.8729629629629629,0.8765740740740741,0.8823148148148148
YEAST 1 (3),GBC,F-SCORE,0.7580567185825545,0.76945398377415,0.773778720911599,0.7846656423079049
YEAST 1 (3),GBC,G-MEAN,0.7848269544811753,0.7933793241768969,0.7982656030510309,0.8061577394922141
YEAST 3,LR,AUC,0.7956628230178605,0.7847304400473346,0.7907114878315031,0.7973254992615425
YEAST 3,LR,F-SCORE,0.16046498504599066,0.475403111988004,0.4667083740753888,0.4902094052009039
YEAST 3,LR,G-MEAN,0.25018002105842513,0.6996988839348856,0.6935698150033778,0.7166635353137477
YEAST 3,KNN,AUC,0.8146482923741641,0.8168865986001412,0.8201958976617038,0.8357080936786195
YEAST 3,KNN,F-SCORE,0.5066031569482112,0.5825219473264166,0.5763876500320798,0.6048829637480034
YEAST 3,KNN,G-MEAN,0.6637331135817306,0.7734386253361581,0.7729111490834092,0.7937621622249488
YEAST 3,DT,AUC,0.765215207639596,0.7882243535056094,0.8124971333168212,0.8266619882397191
YEAST 3,DT,F-SCORE,0.5331455219723377,0.6348034353179899,0.6259287513888238,0.6595256799400909
YEAST 3,DT,G-MEAN,0.6903485733830618,0.7833145353325772,0.7875787429706929,0.8244627701904687
YEAST 3,GBC,AUC,0.8942767243672657,0.8846905358174862,0.8808984873086203,0.91112135472567
YEAST 3,GBC,F-SCORE,0.6515042220349483,0.6532463374067053,0.6792980762254505,0.7065594308200289
YEAST 3,GBC,G-MEAN,0.7561946523704431,0.7635963161133661,0.7973539048109043,0.8299673239667412
HABERMAN (3),LR,AUC,0.9314590419501136,0.92947477934555,0.9315663120644324,0.933486188866828
HABERMAN (3),LR,F-SCORE,0.3057539682539683,0.7060299982234781,0.714438824839028,0.7157795267359034
HABERMAN (3),LR,G-MEAN,0.4240658352334195,0.8917036041830348,0.8966676845534932,0.8991495633979154
HABERMAN (3),KNN,AUC,0.949924094937018,0.9413214957035446,0.9397287523462334,0.9471666489229928
HABERMAN (3),KNN,F-SCORE,0.856652371093365,0.7988283696979351,0.7888133484872616,0.8342119807958318
HABERMAN (3),KNN,G-MEAN,0.916066635673502,0.9171056180344848,0.9188990269050756,0.9336896596823806
HABERMAN (3),DT,AUC,0.8665073917658503,0.8797450313192795,0.8826919221303621,0.9120757764496016
HABERMAN (3),DT,F-SCORE,0.7239577333603159,0.7666996669843461,0.7861684389178397,0.8099477943871537
HABERMAN (3),DT,G-MEAN,0.8364592781028971,0.8765116172906059,0.8763809007143294,0.9036507471556844
HABERMAN (3),GBC,AUC,0.952212511798978,0.9497896244489291,0.9570833423746956,0.9650004904939116
HABERMAN (3),GBC,F-SCORE,0.7771304083661064,0.7957825660833181,0.7882131616370748,0.8380967594027418
HABERMAN (3),GBC,G-MEAN,0.8619909261923455,0.8792900744632289,0.8854849219278768,0.9153232933715184
PAGE BLOCKS 0,LR,AUC,0.8960579514824798,0.8989779874213836,0.9042003593890384,0.9088050314465408
PAGE BLOCKS 0,LR,F-SCORE,0.6721594443292557,0.7242067218759782,0.7277106633654914,0.7602443549585612
PAGE BLOCKS 0,LR,G-MEAN,0.7389025438372748,0.7868837427012031,0.7915531625611877,0.8191029479282083
PAGE BLOCKS 0,KNN,AUC,0.7769541778975743,0.7694294699011679,0.7611747529200359,0.8085691823899371
PAGE BLOCKS 0,KNN,F-SCORE,0.6744358120606733,0.6623040176781633,0.6577929917924953,0.710950085735412
PAGE BLOCKS 0,KNN,G-MEAN,0.7374584930276947,0.7336573549459692,0.7351919115815827,0.7799414585927621
PAGE BLOCKS 0,DT,AUC,0.8606805929919138,0.8055368373764601,0.8501516172506741,0.8668014375561546
PAGE BLOCKS 0,DT,F-SCORE,0.6900943396226414,0.6451383053667066,0.6889744014123359,0.7317562632213019
PAGE BLOCKS 0,DT,G-MEAN,0.7546711953101779,0.7191440879358835,0.7598190182532402,0.7932482455357422
PAGE BLOCKS 0,GBC,AUC,0.8622529200359391,0.8821316262353998,0.8680368373764601,0.9026561096136568
PAGE BLOCKS 0,GBC,F-SCORE,0.6830551523947751,0.7008374864302488,0.7167650582839845,0.7606080172161719
PAGE BLOCKS 0,GBC,G-MEAN,0.7558307154836013,0.7725069398860324,0.7845940049193795,0.8191604870076455
VEHICLE (3),LR,AUC,0.9914981970528466,0.9897209690223162,0.9901641240856479,0.9949430143011148
VEHICLE (3),LR,F-SCORE,0.8426509430733825,0.8393590250475519,0.8514935933480928,0.8542379051646272
VEHICLE (3),LR,G-MEAN,0.9122580821604972,0.9367134625835204,0.9341177977347088,0.9721960927402234
VEHICLE (3),KNN,AUC,0.9592045825598778,0.959256833240003,0.9616090059304124,0.9683732368033878
VEHICLE (3),KNN,F-SCORE,0.6587413241270185,0.7395546070183777,0.7333998707251596,0.7548733190017648
VEHICLE (3),KNN,G-MEAN,0.7488941724027202,0.9146595076839862,0.919104871089816,0.9293408380080144
VEHICLE (3),DT,AUC,0.9335557432119618,0.9456264985978938,0.9519217417827942,0.9606104424656888
VEHICLE (3),DT,F-SCORE,0.7066731132182277,0.7261821867435554,0.7449873437334388,0.7363339586977818
VEHICLE (3),DT,G-MEAN,0.8318666971600814,0.9190541515994224,0.915786095881636,0.9359081902088996
VEHICLE (3),GBC,AUC,0.988043116847057,0.9893814391645372,0.9906418792944772,0.9936893803001632
VEHICLE (3),GBC,F-SCORE,0.7980551150045225,0.8044266813906188,0.8192692942303049,0.8577385473240772
VEHICLE (3),GBC,G-MEAN,0.8582711896252956,0.908982407990548,0.9286115774375404,0.9389894568608694
VOWEL,LR,AUC,0.9882680896279497,0.9816571074004182,0.97989809300393,0.9914800980669388
VOWEL,LR,F-SCORE,0.7663766906351652,0.6567565040189928,0.6644747513932722,0.7945131022461529
VOWEL,LR,G-MEAN,0.8209781286378838,0.9507119228905632,0.9518441783065279,0.9825686693104908
