Dataset,Oversampler,Classifier,Metric,Score
PIMA (2),K-MEANS SMOTE,GBC,mean_test_roc_auc,0.8340227061981978
PIMA (2),K-MEANS SMOTE,GBC,mean_test_f1,0.5287087088135018
PIMA (2),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.7001437698964204
GLASS,NO OVERSAMPLING,LR,mean_test_roc_auc,0.8184850331843424
GLASS,NO OVERSAMPLING,LR,mean_test_f1,0.5071420819105297
GLASS,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.6138790621344886
GLASS,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.8492313422727888
GLASS,NO OVERSAMPLING,KNN,mean_test_f1,0.6690827757102153
GLASS,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.7543782479509339
GLASS,NO OVERSAMPLING,DT,mean_test_roc_auc,0.7863736793986185
GLASS,NO OVERSAMPLING,DT,mean_test_f1,0.6763977616339214
GLASS,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.7554646870427859
GLASS,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8977697920899363
GLASS,NO OVERSAMPLING,GBC,mean_test_f1,0.7516610618121853
GLASS,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8105977900478428
GLASS,SMOTE,LR,mean_test_roc_auc,0.8213103582554517
GLASS,SMOTE,LR,mean_test_f1,0.6512989454417105
GLASS,SMOTE,LR,mean_test_geometric_mean_score,0.7331271908867397
GLASS,SMOTE,KNN,mean_test_roc_auc,0.8443891372070975
GLASS,SMOTE,KNN,mean_test_f1,0.7151364422533593
GLASS,SMOTE,KNN,mean_test_geometric_mean_score,0.7945735056996324
GLASS,SMOTE,DT,mean_test_roc_auc,0.7905047914127048
GLASS,SMOTE,DT,mean_test_f1,0.7038229329165563
GLASS,SMOTE,DT,mean_test_geometric_mean_score,0.7806837246183753
GLASS,SMOTE,GBC,mean_test_roc_auc,0.9020003724773128
GLASS,SMOTE,GBC,mean_test_f1,0.7459986524582456
GLASS,SMOTE,GBC,mean_test_geometric_mean_score,0.8117044218775178
GLASS,K-MEANS SMOTE,LR,mean_test_roc_auc,0.8218860050115129
GLASS,K-MEANS SMOTE,LR,mean_test_f1,0.6966676492351984
GLASS,K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.7785456861684189
GLASS,K-MEANS SMOTE,KNN,mean_test_roc_auc,0.8527095608153867
GLASS,K-MEANS SMOTE,KNN,mean_test_f1,0.7037025162576213
GLASS,K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.7842189507761093
GLASS,K-MEANS SMOTE,DT,mean_test_roc_auc,0.8136893877827442
GLASS,K-MEANS SMOTE,DT,mean_test_f1,0.7265231218680084
GLASS,K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.7988845577842174
GLASS,K-MEANS SMOTE,GBC,mean_test_roc_auc,0.9029188676689692
GLASS,K-MEANS SMOTE,GBC,mean_test_f1,0.7651618821924074
GLASS,K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.8207960656119345
ECOLI (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9091659943728
ECOLI (2),NO OVERSAMPLING,LR,mean_test_f1,0.0
ECOLI (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.0
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.947597843843193
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_f1,0.8015912403009177
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8830050912444903
ECOLI (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.826902064845252
ECOLI (2),NO OVERSAMPLING,DT,mean_test_f1,0.6392282759685136
ECOLI (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8237879084909415
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9233183923547142
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_f1,0.7162463343108504
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8252013261884458
ECOLI (2),SMOTE,LR,mean_test_roc_auc,0.9071744692892147
ECOLI (2),SMOTE,LR,mean_test_f1,0.5150532533512885
ECOLI (2),SMOTE,LR,mean_test_geometric_mean_score,0.8639702152339561
ECOLI (2),SMOTE,KNN,mean_test_roc_auc,0.9417354613942773
ECOLI (2),SMOTE,KNN,mean_test_f1,0.737763440860215
ECOLI (2),SMOTE,KNN,mean_test_geometric_mean_score,0.9273551249081724
ECOLI (2),SMOTE,DT,mean_test_roc_auc,0.8334561323234877
ECOLI (2),SMOTE,DT,mean_test_f1,0.5825302952722308
ECOLI (2),SMOTE,DT,mean_test_geometric_mean_score,0.7924628315793909
ECOLI (2),SMOTE,GBC,mean_test_roc_auc,0.9274298857702481
ECOLI (2),SMOTE,GBC,mean_test_f1,0.6266367661434076
ECOLI (2),SMOTE,GBC,mean_test_geometric_mean_score,0.792486814331074
ECOLI (2),K-MEANS SMOTE,LR,mean_test_roc_auc,0.9096190702677536
ECOLI (2),K-MEANS SMOTE,LR,mean_test_f1,0.5630017294533423
ECOLI (2),K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.8771893302969958
ECOLI (2),K-MEANS SMOTE,KNN,mean_test_roc_auc,0.94808831733876
ECOLI (2),K-MEANS SMOTE,KNN,mean_test_f1,0.8111336405529953
ECOLI (2),K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.9379820186145745
ECOLI (2),K-MEANS SMOTE,DT,mean_test_roc_auc,0.8337878140214411
ECOLI (2),K-MEANS SMOTE,DT,mean_test_f1,0.6461381742196683
ECOLI (2),K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.8151181853101239
ECOLI (2),K-MEANS SMOTE,GBC,mean_test_roc_auc,0.9241708960974846
ECOLI (2),K-MEANS SMOTE,GBC,mean_test_f1,0.7162463343108504
ECOLI (2),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.8240162800427004
YEAST 3 (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9630468758347298
YEAST 3 (2),NO OVERSAMPLING,LR,mean_test_f1,0.0
YEAST 3 (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.0
YEAST 3 (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9205141111690429
YEAST 3 (2),NO OVERSAMPLING,KNN,mean_test_f1,0.6286868653851991
YEAST 3 (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.7324536030591153
YEAST 3 (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9288137967690139
YEAST 3 (2),NO OVERSAMPLING,DT,mean_test_f1,0.6579742412378597
YEAST 3 (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8388117837981387
YEAST 3 (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9604120283252136
YEAST 3 (2),NO OVERSAMPLING,GBC,mean_test_f1,0.6793323909829206
YEAST 3 (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8082591919158332
YEAST 3 (2),SMOTE,LR,mean_test_roc_auc,0.9635237225771157
YEAST 3 (2),SMOTE,LR,mean_test_f1,0.5278656048170096
YEAST 3 (2),SMOTE,LR,mean_test_geometric_mean_score,0.8936307513624295
YEAST 3 (2),SMOTE,KNN,mean_test_roc_auc,0.9339799240132947
YEAST 3 (2),SMOTE,KNN,mean_test_f1,0.641945724230439
YEAST 3 (2),SMOTE,KNN,mean_test_geometric_mean_score,0.9219706626800486
YEAST 3 (2),SMOTE,DT,mean_test_roc_auc,0.9322357921431947
YEAST 3 (2),SMOTE,DT,mean_test_f1,0.6833660900953392
YEAST 3 (2),SMOTE,DT,mean_test_geometric_mean_score,0.9264160083298962
YEAST 3 (2),SMOTE,GBC,mean_test_roc_auc,0.9591080080355605
YEAST 3 (2),SMOTE,GBC,mean_test_f1,0.6921116165648051
YEAST 3 (2),SMOTE,GBC,mean_test_geometric_mean_score,0.8990802835504744
YEAST 3 (2),K-MEANS SMOTE,LR,mean_test_roc_auc,0.9646726883378605
YEAST 3 (2),K-MEANS SMOTE,LR,mean_test_f1,0.6019374856369777
YEAST 3 (2),K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.8987458910704997
YEAST 3 (2),K-MEANS SMOTE,KNN,mean_test_roc_auc,0.9227152253536756
YEAST 3 (2),K-MEANS SMOTE,KNN,mean_test_f1,0.6745233632116197
YEAST 3 (2),K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.8918841131015586
YEAST 3 (2),K-MEANS SMOTE,DT,mean_test_roc_auc,0.9402254229045038
YEAST 3 (2),K-MEANS SMOTE,DT,mean_test_f1,0.7075683385122077
YEAST 3 (2),K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.919962509063665
YEAST 3 (2),K-MEANS SMOTE,GBC,mean_test_roc_auc,0.9657951522660102
YEAST 3 (2),K-MEANS SMOTE,GBC,mean_test_f1,0.7058000426495348
YEAST 3 (2),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.8987713104407111
YEAST 3,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9641647128916093
YEAST 3,NO OVERSAMPLING,LR,mean_test_f1,0.08064169400613325
YEAST 3,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.19957681863972115
YEAST 3,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9287741718021849
YEAST 3,NO OVERSAMPLING,KNN,mean_test_f1,0.7106815098823978
YEAST 3,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8004795025617789
YEAST 3,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9484849856588883
YEAST 3,NO OVERSAMPLING,DT,mean_test_f1,0.7336229912602455
YEAST 3,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8300614593025912
YEAST 3,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9599725202776801
YEAST 3,NO OVERSAMPLING,GBC,mean_test_f1,0.727986692175687
YEAST 3,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8207164146073769
YEAST 3,SMOTE,LR,mean_test_roc_auc,0.9645861312207096
YEAST 3,SMOTE,LR,mean_test_f1,0.6746577936177287
YEAST 3,SMOTE,LR,mean_test_geometric_mean_score,0.8983254690180368
YEAST 3,SMOTE,KNN,mean_test_roc_auc,0.9283305703472001
YEAST 3,SMOTE,KNN,mean_test_f1,0.6979600878062077
YEAST 3,SMOTE,KNN,mean_test_geometric_mean_score,0.8919337876958062
YEAST 3,SMOTE,DT,mean_test_roc_auc,0.9465640551021519
YEAST 3,SMOTE,DT,mean_test_f1,0.7627627317472407
YEAST 3,SMOTE,DT,mean_test_geometric_mean_score,0.9224274047949437
YEAST 3,SMOTE,GBC,mean_test_roc_auc,0.967072745812638
YEAST 3,SMOTE,GBC,mean_test_f1,0.7908246765287503
YEAST 3,SMOTE,GBC,mean_test_geometric_mean_score,0.9191851747843485
YEAST 3,K-MEANS SMOTE,LR,mean_test_roc_auc,0.9660927380086506
YEAST 3,K-MEANS SMOTE,LR,mean_test_f1,0.7144676399642855
YEAST 3,K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.8975693103602056
YEAST 3,K-MEANS SMOTE,KNN,mean_test_roc_auc,0.932563380946732
YEAST 3,K-MEANS SMOTE,KNN,mean_test_f1,0.7406530645677536
YEAST 3,K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.8895785239023856
YEAST 3,K-MEANS SMOTE,DT,mean_test_roc_auc,0.9529186618833327
YEAST 3,K-MEANS SMOTE,DT,mean_test_f1,0.7825305025299867
YEAST 3,K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.9262483319838899
YEAST 3,K-MEANS SMOTE,GBC,mean_test_roc_auc,0.9639434170166745
YEAST 3,K-MEANS SMOTE,GBC,mean_test_f1,0.7885223466962148
YEAST 3,K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.9138791777596562
HABERMAN,NO OVERSAMPLING,LR,mean_test_roc_auc,0.6837037037037036
HABERMAN,NO OVERSAMPLING,LR,mean_test_f1,0.2570974298452662
HABERMAN,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.3940221723084558
