Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
PAGE BLOCKS 0 (2),DT,ROC AUC,0.8962730666947736,0.9454983049966059,0.9378725494712918
PAGE BLOCKS 0 (2),DT,F1,0.7649290289721109,0.6959505124354621,0.7866948781585805
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,0.8525516528644872,0.9238002295750993,0.9063767181685345
PAGE BLOCKS 0 (2),GBC,ROC AUC,0.9850477912787494,0.9861043853348974,0.9858439183499113
PAGE BLOCKS 0 (2),GBC,F1,0.7884164839453167,0.7726376500451262,0.8182754580574583
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,0.8758471690677583,0.9450988364296788,0.9358117923113961
EUCALYPTUS,LR,ROC AUC,0.8643324551610876,0.8899619632313294,0.8943525216357227
EUCALYPTUS,LR,F1,0.26686645601012043,0.5339611296862107,0.5507342988895698
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,0.39634658784494425,0.7946293313089495,0.8045933935389034
EUCALYPTUS,KNN,ROC AUC,0.7350910658276281,0.7625734345246756,0.7501228961111994
EUCALYPTUS,KNN,F1,0.32957276368491323,0.4185070725542029,0.4404231502491044
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,0.49548293527141213,0.6843602153419793,0.7026105574943433
EUCALYPTUS,DT,ROC AUC,0.83340364620377,0.825094066483858,0.83340364620377
EUCALYPTUS,DT,F1,0.44589607692411426,0.4913570138129775,0.5126967953355961
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,0.5953866832090302,0.7452381169355657,0.7705883144710092
EUCALYPTUS,GBC,ROC AUC,0.8861783628025818,0.8794688238224602,0.8885301832514714
EUCALYPTUS,GBC,F1,0.527892223518489,0.5458935415925199,0.5832922454316256
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,0.6638599146536004,0.7202302317131026,0.7634138751693182
YEAST 1,LR,ROC AUC,0.782120029908945,0.7844185290382225,0.7881481644011126
YEAST 1,LR,F1,0.3365738597157754,0.5765584776348376,0.5898186538011918
YEAST 1,LR,GEOMETRIC MEAN SCORE,0.4635844382378599,0.7014581946101919,0.7117601606987186
YEAST 1,KNN,ROC AUC,0.7676387559200059,0.7630415531358927,0.7709306002348455
YEAST 1,KNN,F1,0.5230354255110976,0.5829675505659122,0.5906392880317504
YEAST 1,KNN,GEOMETRIC MEAN SCORE,0.6398327097631015,0.7070846548682176,0.711788714707187
YEAST 1,DT,ROC AUC,0.7368340148779418,0.7396592518570702,0.749323009494
