Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,0.9972364990467255,0.9916078003398072,0.9972364990467255
NEW THYROID 1,KNN,ROC AUC,0.970662438336857,0.9715028188865397,0.9716279069767441
NEW THYROID 1,KNN,F1,0.8291706009209069,0.927549253914269,0.9288001348163127
NEW THYROID 1,KNN,GEOMETRIC MEAN SCORE,0.844067469780016,0.9564868489584404,0.962713119278901
NEW THYROID 1,DT,ROC AUC,0.9194855532064834,0.9331007751937985,0.9428294573643411
NEW THYROID 1,DT,F1,0.8748046695468333,0.8836856941508104,0.9047011980267794
NEW THYROID 1,DT,GEOMETRIC MEAN SCORE,0.9164482084842418,0.9302165116349366,0.9400606034487067
NEW THYROID 1,GBC,ROC AUC,0.9683016208597605,0.9859689922480621,0.9913248766737139
NEW THYROID 1,GBC,F1,0.8945254947277194,0.8679121855562705,0.8970325091154212
NEW THYROID 1,GBC,GEOMETRIC MEAN SCORE,0.9202167365431325,0.9154202380432898,0.9328996278630808
HEART (3),LR,ROC AUC,0.896266049739734,0.8894372469635627,0.8963817235396183
HEART (3),LR,F1,0.6988380041011619,0.674879926327056,0.7184078206186422
HEART (3),LR,GEOMETRIC MEAN SCORE,0.7705020639105353,0.8137517991934544,0.82595833962204
HEART (3),KNN,ROC AUC,0.64644997108155,0.6413652400231348,0.6589823597455178
HEART (3),KNN,F1,0.30542510121457495,0.40186888287636646,0.4225999576618772
HEART (3),KNN,GEOMETRIC MEAN SCORE,0.4666517856646171,0.612733220281849,0.6310411993566463
HEART (3),DT,ROC AUC,0.8035234239444766,0.7217232504337767,0.8002076344707925
HEART (3),DT,F1,0.5953333333333334,0.519366900248706,0.5909473684210527
HEART (3),DT,GEOMETRIC MEAN SCORE,0.7262345774016368,0.6846834240347859,0.7199348605372788
HEART (3),GBC,ROC AUC,0.865351069982649,0.8679832272990167,0.8645858877964142
HEART (3),GBC,F1,0.6663859649122807,0.6855631418740391,0.6930106201959749
HEART (3),GBC,GEOMETRIC MEAN SCORE,0.7634254026720086,0.7678843439641154,0.7703794358894787
SEGMENTATION (2),LR,ROC AUC,0.9994582185491276,0.9995638200183654,0.9996969696969696
SEGMENTATION (2),LR,F1,0.9908812899638587,0.9805341055341057,0.9908812899638587
