Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
HABERMAN,GBC,GEOMETRIC MEAN SCORE,0.47338574982847986,0.5795611002543097,0.5346882712034859
PAGE BLOCKS 0 (2),LR,ROC AUC,0.9250823933947895,0.9462955942624274,0.951609511869764
PAGE BLOCKS 0 (2),LR,F1,0.4128494041929915,0.5555629226204208,0.6292353441523504
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,0.5430465994218615,0.8901389487935503,0.8945415573374278
PAGE BLOCKS 0 (2),KNN,ROC AUC,0.9040628360530651,0.930709430649505,0.9040628360530651
PAGE BLOCKS 0 (2),KNN,F1,0.6858912048394736,0.6745157258338892,0.7014463163835795
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,0.7606710745114973,0.8976598592843084,0.8543279839341064
PAGE BLOCKS 0 (2),DT,ROC AUC,0.8962730666947736,0.9403616128022199,0.9314445445762635
PAGE BLOCKS 0 (2),DT,F1,0.7649290289721109,0.6655575561417055,0.7827046815925778
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,0.8525516528644872,0.9026225384522149,0.9088821781492677
PAGE BLOCKS 0 (2),GBC,ROC AUC,0.9850477912787494,0.9844410323783865,0.985788621327975
PAGE BLOCKS 0 (2),GBC,F1,0.7884164839453167,0.7780162117357033,0.8057136690205671
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,0.8758471690677583,0.9409866247659564,0.933655910955364
EUCALYPTUS,LR,ROC AUC,0.8643324551610876,0.8920582631151026,0.8937856045952293
EUCALYPTUS,LR,F1,0.26686645601012043,0.5418256848902121,0.5598414324948744
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,0.39634658784494425,0.7997608768469612,0.8004754582188707
EUCALYPTUS,KNN,ROC AUC,0.7350910658276281,0.7623433100815697,0.7498437332338509
EUCALYPTUS,KNN,F1,0.32957276368491323,0.41784436620092047,0.43419479377471626
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,0.49548293527141213,0.682777214615371,0.6972292195100421
EUCALYPTUS,DT,ROC AUC,0.83340364620377,0.8296745311256545,0.8392982777930434
EUCALYPTUS,DT,F1,0.44589607692411426,0.4998239557533375,0.5189273528787697
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,0.5953866832090302,0.7399216152821929,0.7886308999786223
EUCALYPTUS,GBC,ROC AUC,0.8861783628025818,0.8799183940274455,0.8902575131792357
EUCALYPTUS,GBC,F1,0.527892223518489,0.5469333702759471,0.600680885165059
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,0.6638599146536004,0.7358050227179553,0.7689450693356141
YEAST 1,LR,ROC AUC,0.782120029908945,0.7792379784567285,0.7883040292385812
YEAST 1,LR,F1,0.3365738597157754,0.5683375475531129,0.5835514658040475
YEAST 1,LR,GEOMETRIC MEAN SCORE,0.4635844382378599,0.6930418656073237,0.7068678235410748
YEAST 1,KNN,ROC AUC,0.7676387559200059,0.7563757038624374,0.7703486500287797
YEAST 1,KNN,F1,0.5230354255110976,0.5833514268897932,0.5781857094005791
YEAST 1,KNN,GEOMETRIC MEAN SCORE,0.6398327097631015,0.7076599844136862,0.699966762001776
YEAST 1,DT,ROC AUC,0.7368340148779418,0.7431953419571344,0.7557661863381203
YEAST 1,DT,F1,0.48608927535997076,0.5770320254976188,0.568363039067334
YEAST 1,DT,GEOMETRIC MEAN SCORE,0.6091377653679785,0.6980985253504861,0.6920891869046168
YEAST 1,GBC,ROC AUC,0.8009779899520466,0.7915293932024475,0.804033384995944
YEAST 1,GBC,F1,0.5419460791899546,0.5990828357800326,0.6085977762588555
YEAST 1,GBC,GEOMETRIC MEAN SCORE,0.6469674885294218,0.7185798353172901,0.7249870018289677
BREAST TISSUE (2),LR,ROC AUC,0.7956809947299077,0.7623826581027668,0.8099884716732543
BREAST TISSUE (2),LR,F1,0.3778409090909091,0.5063360881542699,0.5357478528601524
BREAST TISSUE (2),LR,GEOMETRIC MEAN SCORE,0.5219375144083626,0.6750208828762461,0.6980179475937345
BREAST TISSUE (2),KNN,ROC AUC,0.6856472332015809,0.7388422266139657,0.6856472332015809
BREAST TISSUE (2),KNN,F1,0.38331668331668334,0.5000790347130588,0.4831390200708382
BREAST TISSUE (2),KNN,GEOMETRIC MEAN SCORE,0.5363949818311687,0.6918634329352864,0.6622910853383234
BREAST TISSUE (2),DT,ROC AUC,0.7827785326086957,0.7417860671936759,0.7838335803689065
BREAST TISSUE (2),DT,F1,0.5069362455726091,0.519130379424497,0.5663681433317129
BREAST TISSUE (2),DT,GEOMETRIC MEAN SCORE,0.6596034528480513,0.7180874153035165,0.7187831635365723
BREAST TISSUE (2),GBC,ROC AUC,0.8060873682476943,0.8232614871541503,0.8464262187088274
BREAST TISSUE (2),GBC,F1,0.5069362455726091,0.5009740259740261,0.5081759149940968
BREAST TISSUE (2),GBC,GEOMETRIC MEAN SCORE,0.6596034528480513,0.6737253619354696,0.6596034528480513
YEAST 6 (2),LR,ROC AUC,0.9505137852044548,0.9645539756919436,0.9626256570603804
YEAST 6 (2),LR,F1,0.0,0.23670861533224846,0.28932189064802816
YEAST 6 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.9318291944676655,0.917162400010943
YEAST 6 (2),KNN,ROC AUC,0.8481651738932715,0.8718900318891422,0.8481651738932715
YEAST 6 (2),KNN,F1,0.4403168455010201,0.45939063210550246,0.4950969931106217
YEAST 6 (2),KNN,GEOMETRIC MEAN SCORE,0.6174638534166441,0.7964384082176564,0.8363099153260156
