Dataset,Oversampler,Classifier,Metric,Score
VEHICLE (2),G-SMOTE,LR,mean_test_geometric_mean_score,0.978634524524319
VEHICLE (2),G-SMOTE,KNN,mean_test_roc_auc,0.9833454158928907
VEHICLE (2),G-SMOTE,KNN,mean_test_f1,0.8316295011507443
VEHICLE (2),G-SMOTE,KNN,mean_test_geometric_mean_score,0.9458427108650792
VEHICLE (2),G-SMOTE,DT,mean_test_roc_auc,0.9542984087762686
VEHICLE (2),G-SMOTE,DT,mean_test_f1,0.7833071117168164
VEHICLE (2),G-SMOTE,DT,mean_test_geometric_mean_score,0.9272808149104126
VEHICLE (2),G-SMOTE,GBC,mean_test_roc_auc,0.9953090303922649
VEHICLE (2),G-SMOTE,GBC,mean_test_f1,0.9034349369791723
VEHICLE (2),G-SMOTE,GBC,mean_test_geometric_mean_score,0.958976216828213
WINE (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9867332667332667
WINE (3),NO OVERSAMPLING,LR,mean_test_f1,0.8388461538461538
WINE (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.8772464023692196
WINE (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.8347236097236097
WINE (3),NO OVERSAMPLING,KNN,mean_test_f1,0.5125824175824176
WINE (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5997711949511172
WINE (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.8970929070929071
WINE (3),NO OVERSAMPLING,DT,mean_test_f1,0.844030969030969
WINE (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8927999125593543
WINE (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9697818847818849
WINE (3),NO OVERSAMPLING,GBC,mean_test_f1,0.8819780219780221
WINE (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9011189610058684
WINE (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9854578754578757
WINE (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.830883190883191
WINE (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9023712131709326
WINE (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.8183161283161283
WINE (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.5491269414346337
WINE (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.7797484077710632
WINE (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.849943944943945
WINE (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.7732639582639583
WINE (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8360108216856424
WINE (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9646964146964147
WINE (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.8104391904391907
WINE (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8512568251858711
WINE (3),SMOTE,LR,mean_test_roc_auc,0.9860983460983461
WINE (3),SMOTE,LR,mean_test_f1,0.8256928256928256
WINE (3),SMOTE,LR,mean_test_geometric_mean_score,0.8957787437198791
WINE (3),SMOTE,KNN,mean_test_roc_auc,0.8217737817737817
WINE (3),SMOTE,KNN,mean_test_f1,0.5137286644978953
WINE (3),SMOTE,KNN,mean_test_geometric_mean_score,0.7270215277404736
WINE (3),SMOTE,DT,mean_test_roc_auc,0.8617551892551892
WINE (3),SMOTE,DT,mean_test_f1,0.7972927072927073
WINE (3),SMOTE,DT,mean_test_geometric_mean_score,0.8531986493993059
WINE (3),SMOTE,GBC,mean_test_roc_auc,0.9693531468531468
WINE (3),SMOTE,GBC,mean_test_f1,0.8375189625189625
WINE (3),SMOTE,GBC,mean_test_geometric_mean_score,0.8763656877062754
WINE (3),G-SMOTE,LR,mean_test_roc_auc,0.9867499167499169
WINE (3),G-SMOTE,LR,mean_test_f1,0.8671639471639473
WINE (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.9375880908669392
WINE (3),G-SMOTE,KNN,mean_test_roc_auc,0.8493240093240093
WINE (3),G-SMOTE,KNN,mean_test_f1,0.6027206127206127
WINE (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.798888587807889
WINE (3),G-SMOTE,DT,mean_test_roc_auc,0.9403787878787879
WINE (3),G-SMOTE,DT,mean_test_f1,0.887004107004107
WINE (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.9383722710376179
WINE (3),G-SMOTE,GBC,mean_test_roc_auc,0.9981118881118881
WINE (3),G-SMOTE,GBC,mean_test_f1,0.9617049617049617
WINE (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.9701229257091707
DERMATOLOGY,NO OVERSAMPLING,LR,mean_test_roc_auc,1.0
DERMATOLOGY,NO OVERSAMPLING,LR,mean_test_f1,1.0
DERMATOLOGY,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,1.0
DERMATOLOGY,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9737509257851394
DERMATOLOGY,NO OVERSAMPLING,KNN,mean_test_f1,0.8866631196240135
DERMATOLOGY,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9671058328614364
DERMATOLOGY,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9817614196516596
DERMATOLOGY,NO OVERSAMPLING,DT,mean_test_f1,0.9584996009577015
DERMATOLOGY,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9805526447087592
DERMATOLOGY,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9985211961879724
DERMATOLOGY,NO OVERSAMPLING,GBC,mean_test_f1,0.9776536312849163
DERMATOLOGY,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9985157190616837
DERMATOLOGY,RANDOM OVERSAMPLING,LR,mean_test_roc_auc,1.0
DERMATOLOGY,RANDOM OVERSAMPLING,LR,mean_test_f1,1.0
DERMATOLOGY,RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,1.0
DERMATOLOGY,RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9696832956479516
DERMATOLOGY,RANDOM OVERSAMPLING,KNN,mean_test_f1,0.8263190564866542
DERMATOLOGY,RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.963039759689393
DERMATOLOGY,RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9736143060576187
DERMATOLOGY,RANDOM OVERSAMPLING,DT,mean_test_f1,0.9460406136383789
DERMATOLOGY,RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9701715947942017
DERMATOLOGY,RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9985211961879724
DERMATOLOGY,RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9776536312849163
DERMATOLOGY,RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9985157190616837
DERMATOLOGY,SMOTE,LR,mean_test_roc_auc,1.0
DERMATOLOGY,SMOTE,LR,mean_test_f1,1.0
DERMATOLOGY,SMOTE,LR,mean_test_geometric_mean_score,1.0
DERMATOLOGY,SMOTE,KNN,mean_test_roc_auc,0.9696832956479516
DERMATOLOGY,SMOTE,KNN,mean_test_f1,0.8203600248292986
DERMATOLOGY,SMOTE,KNN,mean_test_geometric_mean_score,0.9625412931514689
DERMATOLOGY,SMOTE,DT,mean_test_roc_auc,0.9654671924635777
DERMATOLOGY,SMOTE,DT,mean_test_f1,0.9335816263190564
DERMATOLOGY,SMOTE,DT,mean_test_geometric_mean_score,0.9597905448796443
DERMATOLOGY,SMOTE,GBC,mean_test_roc_auc,0.9985211961879724
DERMATOLOGY,SMOTE,GBC,mean_test_f1,0.9776536312849163
DERMATOLOGY,SMOTE,GBC,mean_test_geometric_mean_score,0.9985157190616837
DERMATOLOGY,G-SMOTE,LR,mean_test_roc_auc,1.0
DERMATOLOGY,G-SMOTE,LR,mean_test_f1,1.0
DERMATOLOGY,G-SMOTE,LR,mean_test_geometric_mean_score,1.0
DERMATOLOGY,G-SMOTE,KNN,mean_test_roc_auc,0.9778167166141033
DERMATOLOGY,G-SMOTE,KNN,mean_test_f1,0.8549968963376785
DERMATOLOGY,G-SMOTE,KNN,mean_test_geometric_mean_score,0.9653317468195787
DERMATOLOGY,G-SMOTE,DT,mean_test_roc_auc,0.9985211961879724
DERMATOLOGY,G-SMOTE,DT,mean_test_f1,0.9776536312849163
DERMATOLOGY,G-SMOTE,DT,mean_test_geometric_mean_score,0.9985157190616837
DERMATOLOGY,G-SMOTE,GBC,mean_test_roc_auc,1.0
DERMATOLOGY,G-SMOTE,GBC,mean_test_f1,0.9776536312849163
DERMATOLOGY,G-SMOTE,GBC,mean_test_geometric_mean_score,0.9985157190616837
VOWEL (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9587968091140647
VOWEL (3),NO OVERSAMPLING,LR,mean_test_f1,0.635726880877743
VOWEL (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.7022570400360189
VOWEL (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9432081467122585
VOWEL (3),NO OVERSAMPLING,KNN,mean_test_f1,0.3997844827586207
VOWEL (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.4616313574770499
VOWEL (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9208452061794987
VOWEL (3),NO OVERSAMPLING,DT,mean_test_f1,0.8737395506792058
VOWEL (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9142931561887235
VOWEL (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9975253588386593
VOWEL (3),NO OVERSAMPLING,GBC,mean_test_f1,0.9118790692066554
VOWEL (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9296827767738
VOWEL (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9884923358269656
VOWEL (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.5336760580369039
VOWEL (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9545593339542663
VOWEL (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9492397030651342
VOWEL (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.8872452978056428
VOWEL (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9087195907746451
VOWEL (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.941998454188874
VOWEL (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.7294684429414399
VOWEL (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9366852582343301
VOWEL (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9985152699294363
VOWEL (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.8516131138975966
VOWEL (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9127395315861825
VOWEL (3),SMOTE,LR,mean_test_roc_auc,0.9865127477578716
