Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
VOWEL (2),DT,ROC AUC,2.0,4.0,3.0,1.0
VOWEL (2),DT,F1,2.0,3.0,4.0,1.0
VOWEL (2),DT,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
VOWEL (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
VOWEL (2),GBC,F1,2.0,4.0,3.0,1.0
VOWEL (2),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
NEW THYROID 2,LR,ROC AUC,3.0,4.0,2.0,1.0
NEW THYROID 2,LR,F1,3.0,3.0,3.0,1.0
NEW THYROID 2,LR,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
NEW THYROID 2,KNN,ROC AUC,2.0,3.0,4.0,1.0
NEW THYROID 2,KNN,F1,3.0,2.0,4.0,1.0
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 2,DT,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 2,DT,F1,4.0,3.0,2.0,1.0
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 2,GBC,ROC AUC,3.0,2.0,4.0,1.0
NEW THYROID 2,GBC,F1,4.0,3.0,2.0,1.0
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 1,LR,ROC AUC,2.5,2.5,2.5,2.5
NEW THYROID 1,LR,F1,2.0,4.0,2.0,2.0
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,2.0,4.0,2.0,2.0
NEW THYROID 1,KNN,ROC AUC,4.0,3.0,1.0,2.0
NEW THYROID 1,KNN,F1,4.0,3.0,2.0,1.0
NEW THYROID 1,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 1,DT,ROC AUC,3.0,4.0,1.0,2.0
NEW THYROID 1,DT,F1,4.0,3.0,1.0,2.0
NEW THYROID 1,DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
NEW THYROID 1,GBC,ROC AUC,2.0,4.0,3.0,1.0
NEW THYROID 1,GBC,F1,3.0,4.0,1.0,2.0
NEW THYROID 1,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
HEART (3),LR,ROC AUC,3.0,4.0,2.0,1.0
HEART (3),LR,F1,2.0,3.0,4.0,1.0
HEART (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HEART (3),KNN,ROC AUC,2.0,4.0,3.0,1.0
HEART (3),KNN,F1,4.0,3.0,2.0,1.0
HEART (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HEART (3),DT,ROC AUC,2.0,4.0,3.0,1.0
HEART (3),DT,F1,4.0,3.0,2.0,1.0
HEART (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART (3),GBC,ROC AUC,4.0,3.0,1.0,2.0
HEART (3),GBC,F1,4.0,2.0,3.0,1.0
HEART (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
SEGMENTATION (2),LR,ROC AUC,4.0,2.0,3.0,1.0
SEGMENTATION (2),LR,F1,2.0,4.0,2.0,2.0
