Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7836786438982638,0.8125285633441683,0.8041370247381172,0.8174913343359753
GLASS,DT,ROC AUC,0.8076048862251118,0.8186278866991737,0.8152385547880265,0.8329809613300827
GLASS,DT,F1,0.7155707476153137,0.758069256299053,0.762272932531606,0.7746852198823455
GLASS,DT,GEOMETRIC MEAN SCORE,0.7908116435676931,0.8289854665089298,0.8312251296495433,0.8388197322052974
GLASS,GBC,ROC AUC,0.9325985371800082,0.9244241416091019,0.9315509447379114,0.9398364485981308
GLASS,GBC,F1,0.8205458138713827,0.7848807230334907,0.794715331276761,0.8182625583912807
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8721642649185474,0.8392812218886072,0.8530447461010444,0.8703628095752024
ECOLI (2),LR,ROC AUC,0.9032886709452652,0.8963783128032847,0.9023317408999506,0.9122385880624692
ECOLI (2),LR,F1,0.0,0.48453304490908994,0.5227636441924719,0.5960494647942053
ECOLI (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8540353134901955,0.8734162546473649,0.8877902565989834
ECOLI (2),KNN,ROC AUC,0.9313846143040051,0.9199308340056273,0.9389576811079403,0.9474347473579854
ECOLI (2),KNN,F1,0.8002867383512545,0.7332823324408178,0.7226741467975689,0.816891495601173
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,0.9084906039475168,0.9168373736871371,0.9175595250258697,0.9442844103965685
ECOLI (2),DT,ROC AUC,0.705123998081454,0.8490098014425218,0.8620796959224875,0.9010557296495643
ECOLI (2),DT,F1,0.49164372030645875,0.7118279569892472,0.6656649688737974,0.7379513299377476
ECOLI (2),DT,GEOMETRIC MEAN SCORE,0.6757745488471385,0.8424648489486819,0.8536915639825604,0.8892847201535964
ECOLI (2),GBC,ROC AUC,0.912917359029007,0.9149025525091612,0.9443605933444914,0.9641601895668019
ECOLI (2),GBC,F1,0.634715821812596,0.7961205987771452,0.7582875595059756,0.7903159226339092
ECOLI (2),GBC,GEOMETRIC MEAN SCORE,0.7285517141966962,0.8806776083578146,0.8572362705937895,0.8983586253741889
YEAST 3 (2),LR,ROC AUC,0.9663272780401371,0.9671125061791456,0.9679115678606202,0.9670563008269346
YEAST 3 (2),LR,F1,0.0,0.5181920632167323,0.5530251740028149,0.6274842271992372
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8939686223800811,0.9084254294890769,0.8951598752038389
YEAST 3 (2),KNN,ROC AUC,0.9401552553542057,0.9354029685189253,0.9418377005300024,0.9589815487499919
YEAST 3 (2),KNN,F1,0.6604970172480872,0.6685358898863417,0.6615524095244285,0.6985741027950314
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,0.756617617473416,0.9194711132481278,0.9218388772556734,0.8919236019604204
YEAST 3 (2),DT,ROC AUC,0.9510207861657322,0.9484549813888004,0.9290263533149972,0.9486652092680471
YEAST 3 (2),DT,F1,0.6852470571165477,0.6857859991723381,0.6712695803471599,0.7344051271893208
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,0.8488392471159483,0.927264222110529,0.9187350094913687,0.9296833903042732
YEAST 3 (2),GBC,ROC AUC,0.9640003064944476,0.9636358263459852,0.9690329915161788,0.9734840544958743
YEAST 3 (2),GBC,F1,0.6618665517089521,0.7063424560095586,0.6831588600756939,0.7214989282608526
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,0.8025908999814768,0.8887496084712716,0.8634470190637099,0.8866977113681163
YEAST 3,LR,ROC AUC,0.9665845937601809,0.9671699680580119,0.9668795532520503,0.9681359650097616
YEAST 3,LR,F1,0.07060534037948296,0.6729786791460907,0.6826251004974233,0.7396027965957244
YEAST 3,LR,GEOMETRIC MEAN SCORE,0.19179034981759246,0.8982080006496274,0.8992336345994651,0.8960792642035595
YEAST 3,KNN,ROC AUC,0.9349258874708913,0.9223478545424542,0.9299647735908325,0.9496165499402407
YEAST 3,KNN,F1,0.7610839020473705,0.7105823007622076,0.7237738492672834,0.7835919895178224
YEAST 3,KNN,GEOMETRIC MEAN SCORE,0.8224168224303798,0.8929071455746154,0.9034879036642733,0.8919914256318717
YEAST 3,DT,ROC AUC,0.9356752539120416,0.9430093944654014,0.954798293214615,0.952100629417004
YEAST 3,DT,F1,0.7681393246745027,0.7146437291397237,0.7477037481407476,0.8009359656034811
YEAST 3,DT,GEOMETRIC MEAN SCORE,0.8630423134198453,0.9131661833677617,0.9117546582050196,0.9218285831866138
YEAST 3,GBC,ROC AUC,0.9664370460060199,0.964021823845659,0.9710480286481442,0.974030536365081
YEAST 3,GBC,F1,0.7477766575428123,0.77341377508529,0.7856233210581791,0.8043223132508458
YEAST 3,GBC,GEOMETRIC MEAN SCORE,0.8499387107272374,0.9094416082341137,0.8992098151214625,0.9010234099567814
HABERMAN,LR,ROC AUC,0.6869958847736627,0.6967078189300412,0.7022222222222222,0.7043621399176955
HABERMAN,LR,F1,0.2477435418611889,0.4802974919327121,0.4760987223576683,0.4968906401719758
HABERMAN,LR,GEOMETRIC MEAN SCORE,0.39020317955680683,0.6220813371673042,0.6207604344054733,0.6352975808641146
HABERMAN,KNN,ROC AUC,0.6613168724279835,0.6769135802469135,0.6808230452674897,0.6951440329218108
HABERMAN,KNN,F1,0.3610574121877906,0.4680717243375472,0.4949224435525805,0.48635455690238877
HABERMAN,KNN,GEOMETRIC MEAN SCORE,0.5082288083791227,0.6249435530557033,0.6488505584926725,0.6318133430241073
HABERMAN,DT,ROC AUC,0.6376954732510288,0.627037037037037,0.6454732510288066,0.6831687242798354
HABERMAN,DT,F1,0.35923141186299085,0.44920255183413077,0.4432430397994582,0.49570941496314624
HABERMAN,DT,GEOMETRIC MEAN SCORE,0.5121983029613713,0.6037064143654424,0.5948387361266589,0.6347883206407647
HABERMAN,GBC,ROC AUC,0.6339917695473251,0.6144855967078189,0.6374074074074074,0.6630864197530864
HABERMAN,GBC,F1,0.34534664929801706,0.41302597701693233,0.41456365066339734,0.4311211664152841
HABERMAN,GBC,GEOMETRIC MEAN SCORE,0.5071996646698518,0.5739739410185027,0.575231349821307,0.5827675503731193
PAGE BLOCKS 0 (2),LR,ROC AUC,0.9226319468131793,0.9519175141171654,0.9507449599377051,0.9161246824695317
PAGE BLOCKS 0 (2),LR,F1,0.4930167215016563,0.5390229659002428,0.5524078373049089,0.5745554559319922
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,0.5930358848571096,0.8932796586845443,0.8937720768819092,0.8092574620786455
PAGE BLOCKS 0 (2),KNN,ROC AUC,0.8954738964372373,0.894565120598719,0.923878915017825,0.9092533464086603
PAGE BLOCKS 0 (2),KNN,F1,0.6915203744336464,0.6719240818748791,0.6572564777681562,0.7017663655816078
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,0.770536443096331,0.8547977674849023,0.8821194370917975,0.8017125251226476
PAGE BLOCKS 0 (2),DT,ROC AUC,0.8827556978181875,0.9398957673812748,0.942785829456778,0.9115074793058637
PAGE BLOCKS 0 (2),DT,F1,0.7581180450913935,0.731926599799072,0.6832247660893406,0.7750234778147118
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,0.8373248578628855,0.8989744841973248,0.9049213264919906,0.8589340660108704
PAGE BLOCKS 0 (2),GBC,ROC AUC,0.9859184982710799,0.984522123639854,0.9864338812006943,0.9882608502523791
PAGE BLOCKS 0 (2),GBC,F1,0.788358116501422,0.7757476324759291,0.7883912914463211,0.7995793668585613
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,0.8683409905980053,0.9317063904668247,0.9340698529386418,0.8778673971589621
EUCALYPTUS,LR,ROC AUC,0.8528677933004557,0.8866072514135261,0.8817865738477313,0.8885723116268309
EUCALYPTUS,LR,F1,0.2841734617435552,0.5494685456052376,0.5359654901713524,0.591796473922642
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,0.41349973213917923,0.807994833270695,0.794063952318582,0.772667281304537
EUCALYPTUS,KNN,ROC AUC,0.7508322185160525,0.7683768739831809,0.7687013782030434,0.7848213671021154
EUCALYPTUS,KNN,F1,0.32295972092165764,0.4706623498707938,0.46001338273756975,0.45895543722538334
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,0.4960848265105613,0.7423116979256501,0.7237851581391196,0.6623310736055774
EUCALYPTUS,DT,ROC AUC,0.7994397187527738,0.8547050998357506,0.8486231110288383,0.8334486919759629
EUCALYPTUS,DT,F1,0.463523882677312,0.47694083546117283,0.5100170647275009,0.5487916375644757
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,0.6154591291626987,0.7674054089929141,0.7561385959049003,0.7089950513850269
EUCALYPTUS,GBC,ROC AUC,0.897237234866159,0.8765660516080851,0.8762337890590848,0.8986427133859783
EUCALYPTUS,GBC,F1,0.5534042615938009,0.5263777018782282,0.5434341790908441,0.5897421978865929
EUCALYPTUS,GBC,GEOMETRIC MEAN SCORE,0.6817730943416971,0.7072231351693077,0.7305154051567103,0.7372110869455182
YEAST 1,LR,ROC AUC,0.7844039368213895,0.7885397244919651,0.7868466591933574,0.7892960545525404
YEAST 1,LR,F1,0.33011791151952874,0.5893076101707954,0.589174894140473,0.5801616397211208
YEAST 1,LR,GEOMETRIC MEAN SCORE,0.4574069789441926,0.7122790874348701,0.712333455575993,0.6928007185352343
YEAST 1,KNN,ROC AUC,0.7392747478979791,0.7319073609610167,0.7320743724414125,0.7543959973573771
YEAST 1,KNN,F1,0.4990761421631438,0.5560059459605704,0.5524674349940292,0.5548421295963939
YEAST 1,KNN,GEOMETRIC MEAN SCORE,0.6176383622157448,0.6842167068149094,0.6812442801627849,0.6727535764342019
YEAST 1,DT,ROC AUC,0.7313554010193162,0.7477732511635813,0.7521481851154612,0.7572817398141691
YEAST 1,DT,F1,0.5242465378207894,0.5796272735572684,0.5920968919423848,0.5693430200742177
YEAST 1,DT,GEOMETRIC MEAN SCORE,0.6432357499515422,0.7022142762303138,0.7134308791367335,0.6833136976506151
YEAST 1,GBC,ROC AUC,0.8085183455171662,0.8073600981914661,0.8017537935727794,0.8170609567646714
