Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
NEW THYROID 2,KNN,F1,0.8961473451069535,0.9457795753286148,0.9576865520728008
NEW THYROID 2,KNN,GEOMETRIC MEAN SCORE,0.9055197775623588,0.9773385961319024,0.980177106979494
NEW THYROID 2,DT,ROC AUC,0.9284760394644116,0.9774101479915434,0.973560606060606
NEW THYROID 2,DT,F1,0.8651582444483301,0.937293562521065,0.9259863958084382
NEW THYROID 2,DT,GEOMETRIC MEAN SCORE,0.9219169582858902,0.9731522128560745,0.9641724445173983
NEW THYROID 2,GBC,ROC AUC,0.9949400986610288,0.9995348837209302,0.9984883720930233
NEW THYROID 2,GBC,F1,0.9154047859791035,0.9597710196779965,0.9393397300374045
NEW THYROID 2,GBC,GEOMETRIC MEAN SCORE,0.9599106957769888,0.9859131847478969,0.9754538394785934
NEW THYROID 1,LR,ROC AUC,1.0,1.0,1.0
NEW THYROID 1,LR,F1,0.9856420626895854,0.9722467138523762,0.9856420626895854
NEW THYROID 1,LR,GEOMETRIC MEAN SCORE,0.9972364990467255,0.9944340755448133,0.9972364990467255
NEW THYROID 1,KNN,ROC AUC,0.970662438336857,0.9710465116279069,0.9716279069767441
NEW THYROID 1,KNN,F1,0.8291706009209069,0.9496218402426693,0.9419615773508595
NEW THYROID 1,KNN,GEOMETRIC MEAN SCORE,0.844067469780016,0.9668624298639337,0.9655001406616153
NEW THYROID 1,DT,ROC AUC,0.9194855532064834,0.961937984496124,0.9604245947850598
NEW THYROID 1,DT,F1,0.8748046695468333,0.9066531631496242,0.917878481478077
NEW THYROID 1,DT,GEOMETRIC MEAN SCORE,0.9164482084842418,0.9618880155029153,0.9535336461026944
NEW THYROID 1,GBC,ROC AUC,0.9683016208597605,0.991860465116279,0.9932558139534884
NEW THYROID 1,GBC,F1,0.8945254947277194,0.9097350859453994,0.9336828752642706
NEW THYROID 1,GBC,GEOMETRIC MEAN SCORE,0.9202167365431325,0.9562912871191477,0.9570394112195757
