Dataset,Oversampler,Classifier,Metric,Score
GLASS,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8977697920899363
GLASS,NO OVERSAMPLING,GBC,mean_test_f1,0.7516610618121853
GLASS,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8105977900478428
GLASS,G-SMOTE,LR,mean_test_roc_auc,0.8207220134091833
GLASS,G-SMOTE,LR,mean_test_f1,0.6535045912534619
GLASS,G-SMOTE,LR,mean_test_geometric_mean_score,0.7366126601709027
GLASS,G-SMOTE,KNN,mean_test_roc_auc,0.8483911519707436
GLASS,G-SMOTE,KNN,mean_test_f1,0.6858134701885232
GLASS,G-SMOTE,KNN,mean_test_geometric_mean_score,0.7696254508914373
GLASS,G-SMOTE,DT,mean_test_roc_auc,0.8268583655018285
GLASS,G-SMOTE,DT,mean_test_f1,0.731941247036023
GLASS,G-SMOTE,DT,mean_test_geometric_mean_score,0.8024118964308669
GLASS,G-SMOTE,GBC,mean_test_roc_auc,0.9038923879181904
GLASS,G-SMOTE,GBC,mean_test_f1,0.7693601254044165
GLASS,G-SMOTE,GBC,mean_test_geometric_mean_score,0.8291034270261777
GLASS,K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.8247748205336584
GLASS,K-MEANS G-SMOTE,LR,mean_test_f1,0.7005675859929807
GLASS,K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.781866044147806
GLASS,K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.8550788128132194
GLASS,K-MEANS G-SMOTE,KNN,mean_test_f1,0.7055450721029984
GLASS,K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.7860693778400831
GLASS,K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.8219812406880671
GLASS,K-MEANS G-SMOTE,DT,mean_test_f1,0.7339443083045285
GLASS,K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.8037490080473891
GLASS,K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.9068573919815792
GLASS,K-MEANS G-SMOTE,GBC,mean_test_f1,0.7680516613379674
GLASS,K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.826534260718957
ECOLI (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9091659943728
ECOLI (2),NO OVERSAMPLING,LR,mean_test_f1,0.0
ECOLI (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.0
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.947597843843193
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_f1,0.8015912403009177
ECOLI (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8830050912444903
ECOLI (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.826902064845252
ECOLI (2),NO OVERSAMPLING,DT,mean_test_f1,0.6392282759685136
ECOLI (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8237879084909415
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9233183923547142
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_f1,0.7162463343108504
ECOLI (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8252013261884458
ECOLI (2),G-SMOTE,LR,mean_test_roc_auc,0.907242215439078
ECOLI (2),G-SMOTE,LR,mean_test_f1,0.5120095488767827
